MRT_Name,MRT_Code,Lat,Long
EUNOS MRT STATION,EW7,1.3197782848869883,103.90325213335886
CHINESE GARDEN MRT STATION,EW25,1.3423521542087522,103.73259640485367
KHATIB MRT STATION,NS14,1.4173827034869275,103.83297957440541
KRANJI MRT STATION,NS7,1.4251770321043908,103.76216507762184
REDHILL MRT STATION,EW18,1.2895620597351773,103.81681633682066
YEW TEE MRT STATION,NS5,1.397534351127437,103.74740478088702
PIONEER MRT STATION,EW28,1.3375862155395857,103.69732117985001
COMMONWEALTH MRT STATION,EW20,1.3024380686600578,103.79830418230857
PAYA LEBAR MRT STATION,EW8,1.3181114156284863,103.89306002188542
SIMEI MRT STATION,EW3,1.3432022282651752,103.95337136066445
TAMPINES MRT STATION,EW2,1.3533006896767417,103.94514835516591
ADMIRALTY MRT STATION,NS10,1.44058433441903,103.800987667492
YISHUN MRT STATION,NS13,1.4294424141442492,103.83500471286109
PASIR RIS MRT STATION,EW1,1.3729831069139988,103.94926778474311
CLEMENTI MRT STATION,EW23,1.3149538257568942,103.76529854103686
ALJUNIED MRT STATION,EW9,1.3164319449909239,103.88290571130439
ANG MO KIO MRT STATION,NS16,1.369346637121707,103.84993266055184
EXPO MRT STATION,CG1,1.3345491111724213,103.9615478771651
CHOA CHU KANG MRT STATION,NS4,1.3853610261628218,103.74434061293658
JURONG EAST MRT STATION,EW24 / NS1,1.3331519532278349,103.7422862107588
QUEENSTOWN MRT STATION,EW19,1.2948602661277875,103.80588400056779
TUAS LINK MRT STATION,EW33,1.3404630989851132,103.6368783457052
GUL CIRCLE MRT STATION,EW30,1.3195045482741081,103.66055262304037
WOODLANDS MRT STATION,NS9,1.4368744615444706,103.78648480159792
TUAS CRESCENT MRT STATION,EW31,1.321025886578594,103.64907514553485
KALLANG MRT STATION,EW10,1.3114882429751198,103.87138620801176
TUAS WEST ROAD MRT STATION,EW32,1.3299884223858767,103.63961372334987
BUONA VISTA MRT STATION,EW21,1.3071827998803096,103.79019120185849
DOVER MRT STATION,EW22,1.3114046262584216,103.77863750833254
SEMBAWANG MRT STATION,NS11,1.4490501545608727,103.82004580721939
KEMBANGAN MRT STATION,EW6,1.321037582184591,103.91294905496804
BUKIT BATOK MRT STATION,NS2,1.349033441910397,103.74956643059207
ANG MO KIO MRT STATION,NS16,1.369932508571624,103.84955779810016
BOON LAY MRT STATION,EW27,1.3386033878378807,103.70606428946985
BUKIT GOMBAK MRT STATION,NS3,1.3587611905951817,103.75189316881793
MARSILING MRT STATION,NS8,1.4325137539694672,103.77407112796614
BEDOK MRT STATION,EW5,1.3239793022215751,103.92998416118782
JOO KOON MRT STATION,EW29,1.3277165064270284,103.67837480986536
LAKESIDE MRT STATION,EW26,1.3442585827289693,103.720948935296
TANAH MERAH MRT STATION,EW4,1.3271864678725516,103.94634612714073
YIO CHU KANG MRT STATION,NS15,1.3817553794462005,103.84494695641784
OASIS LRT STATION,PE6,1.402286010827649,103.91272702222933
SAM KEE LRT STATION,PW1,1.4096120184204668,103.90483121713139
FARMWAY LRT STATION,SW2,1.3971695297916307,103.88930447707097
KUPANG LRT STATION,SW3,1.3982121617306842,103.88125588861757
RENJONG LRT STATION,SW8,1.3867232548615454,103.89053909378927
BUKIT PANJANG LRT STATION,BP6,1.377909231315871,103.76301330050273
FAJAR LRT STATION,BP10,1.3845201295088212,103.77080824921495
PUNGGOL LRT STATION,PTC,1.405194034636233,103.90241157860174
SAMUDERA LRT STATION,PW4,1.415901052772624,103.90215598300765
NIBONG LRT STATION,PW5,1.4118697917870355,103.90031348429311
SOO TECK LRT STATION,PW7,1.4050879181876932,103.89720931694225
KADALOOR LRT STATION,PE5,1.3995841860950975,103.91648632856422
CORAL EDGE LRT STATION,PE3,1.3939085594513778,103.91258052140884
THANGGAM LRT STATION,SW4,1.397317488328674,103.87563482310387
KEAT HONG LRT STATION,BP3,1.378602099316918,103.74905518614288
DAMAI LRT STATION,PE7,1.4052341695058825,103.90860321025062
COVE LRT STATION,PE1,1.3992813183537511,103.90596161068787
RIVIERA LRT STATION,PE4,1.3945238291029673,103.91616572557973
SENJA LRT STATION,BP13,1.3826916291578648,103.76236689266916
JELAPANG LRT STATION,BP12,1.3867023583476155,103.76450300487436
PETIR LRT STATION,BP7,1.3777496671508374,103.76666862693479
TECK WHYE LRT STATION,BP4,1.376684012777711,103.75371189893323
CHOA CHU KANG LRT STATION,BP1,1.3848356932998314,103.74455339799555
SOUTH VIEW LRT STATION,BP2,1.3802976205512498,103.74529146679454
LAYAR LRT STATION,SW6,1.3920791721060621,103.8800292669943
KANGKAR LRT STATION,SE4,1.3839782351672185,103.90217365538436
MERIDIAN LRT STATION,PE2,1.3969113863971245,103.90894988357248
CHENG LIM LRT STATION,SW1,1.3962769646694455,103.89379684746591
PUNGGOL POINT LRT STATION,PW3,1.4168478538296947,103.90665045707526
SUMANG LRT STATION,PW6,1.408451758981461,103.89855812067262
FERNVALE LRT STATION,SW5,1.3918852210775294,103.87630827801617
TONGKANG LRT STATION,SW7,1.3893472862932013,103.8858438165469
PENDING LRT STATION,BP8,1.3761422161185943,103.77126984531762
TECK LEE LRT STATION,PW2,1.4127702271974507,103.90657728931139
BANGKIT LRT STATION,BP9,1.3800172305756426,103.77264873927493
BAKAU LRT STATION,SE3,1.388092037108859,103.90543877085315
RUMBIA LRT STATION,SE2,1.3914678301723313,103.90597326192281
COMPASSVALE LRT STATION,SE1,1.394492379531778,103.90049211724822
TEN MILE JUNCTION LRT STATION,BP14,1.3803203418268237,103.76013944407805
RANGGUNG LRT STATION,SE5,1.384232894004196,103.89719433613861
PHOENIX LRT STATION,BP5,1.3786181777866464,103.7580337651123
SEGAR LRT STATION,BP11,1.3877714641945056,103.76959806348837
SENGKANG LRT STATION,STC,1.391608697149897,103.89544225029226
BRAS BASAH MRT STATION,CC2,1.296861019860377,103.85066703844014
MACPHERSON MRT STATION,CC10,1.3263447049944757,103.89028669800267
CITY HALL MRT STATION,EW13 / NS25,1.292935576178844,103.85258555900556
TAMPINES EAST MRT STATION,DT33,1.3561908163715506,103.95463412940992
TAMPINES WEST MRT STATION,DT31,1.345514638635807,103.93843663789363
GEYLANG BAHRU MRT STATION,DT24,1.3215051713506172,103.87190029235842
BENDEMEER MRT STATION,DT23,1.3136715658774059,103.86297765413143
BENCOOLEN MRT STATION,DT21,1.2988636037501327,103.85038392157857
HARBOURFRONT MRT STATION,NE1 / CC29,1.2654719731946849,103.8214427357582
PROMENADE MRT STATION,DT15,1.2928908854249639,103.8608526549149
BUGIS MRT STATION,DT14,1.2995500790421979,103.85686799975572
KENT RIDGE MRT STATION,CC24,1.293461966477464,103.78463109348135
MACPHERSON MRT STATION,DT26,1.3260762162557471,103.88935025674635
PUNGGOL MRT STATION,NE17,1.4045460611217397,103.90207230502453
TANJONG PAGAR MRT STATION,EW15,1.2765205800256862,103.84586389601083
ONE-NORTH MRT STATION,CC23,1.299759211924949,103.78745717451768
BISHAN MRT STATION,CC15,1.3513080134489444,103.84915408568436
STADIUM MRT STATION,CC6,1.3028399629661689,103.87535000182866
BUGIS MRT STATION,EW12,1.3004644096480535,103.85570608067681
SOMERSET MRT STATION,NS23,1.3002593883981926,103.8390748290093
ORCHARD MRT STATION,NS22,1.3039803457696473,103.83224111873473
JALAN BESAR MRT STATION,DT22,1.30540297555608,103.85547668299952
BAYFRONT MRT STATION,DT16 / CE1,1.2818731218242623,103.85907943179133
SENGKANG MRT STATION,NE16,1.3916939594326203,103.8954843607881
BUKIT BROWN MRT STATION,CC18,1.3337282156543682,103.83068921680423
MOUNTBATTEN MRT STATION,CC7,1.3062012381642654,103.88252774745432
KOVAN MRT STATION,NE13,1.3601785045124906,103.88506452297702
FORT CANNING MRT STATION,DT20,1.292478261250205,103.84432793627347
FARRER ROAD MRT STATION,CC20,1.317509945228673,103.80758577242148
EXPO MRT STATION,DT35,1.3353814706681884,103.96237537390037
DOWNTOWN MRT STATION,DT17,1.2794455237114053,103.85284011070075
BUONA VISTA MRT STATION,CC22,1.3064910024407472,103.79065307673493
ESPLANADE MRT STATION,CC3,1.293320940944003,103.85550377218695
NICOLL HIGHWAY MRT STATION,CC5,1.2997661686008202,103.86363668515288
CALDECOTT MRT STATION,CC17,1.3376738413772886,103.83952948742909
MARINA BAY MRT STATION,NS27,1.276426688083278,103.85459744420403
MARINA BAY MRT STATION,CE2,1.2761499699496623,103.85509364888254
LABRADOR PARK MRT STATION,CC27,1.272332064929177,103.80293928709655
CHINATOWN MRT STATION,NE4,1.2843589115656588,103.84342644260805
CHINATOWN MRT STATION,DT19,1.284748302394177,103.84445086738027
NEWTON MRT STATION,DT11,1.313606435526509,103.83781066078993
TAN KAH KEE MRT STATION,DT8,1.3258825422553975,103.80732187428754
TIONG BAHRU MRT STATION,EW17,1.2861927261916632,103.82701909759243
HILLVIEW MRT STATION,DT3,1.3623442018613825,103.7674179211664
KING ALBERT PARK MRT STATION,DT6,1.3356644540929516,103.78380632556392
MATTAR MRT STATION,DT25,1.326876048045757,103.88324717582336
UBI MRT STATION,DT27,1.329956159037191,103.89925219160284
BEAUTY WORLD MRT STATION,DT5,1.341222509044653,103.77579395199339
KAKI BUKIT MRT STATION,DT28,1.3349666348977953,103.9084594010759
TAMPINES MRT STATION,DT32,1.3550767623302653,103.94306016398482
BEDOK NORTH MRT STATION,DT29,1.3347414500920625,103.91797799636716
DHOBY GHAUT MRT STATION,NS24,1.2987006399622905,103.8461148213397
SERANGOON MRT STATION,CC13,1.3505945897765026,103.8723677561524
WOODLEIGH MRT STATION,NE11,1.3391893788582496,103.87081797602744
NOVENA MRT STATION,NS20,1.3204401241807653,103.84382528547944
SERANGOON MRT STATION,NE12,1.3497072087124364,103.87357451350883
BEDOK RESERVOIR MRT STATION,DT30,1.3366071631444323,103.93223429018425
MARINA SOUTH PIER MRT STATION,NS28,1.2713360446618627,103.86285943629485
FARRER PARK MRT STATION,NE8,1.312359173544994,103.85417680819214
PAYA LEBAR MRT STATION,CC9,1.3174296013099804,103.8921785121019
BARTLEY MRT STATION,CC12,1.3428276710707725,103.87975857287385
DAKOTA MRT STATION,CC8,1.3083819726001025,103.88866227057056
PASIR PANJANG MRT STATION,CC26,1.2762128560181432,103.7913499798378
OUTRAM PARK MRT STATION,NE3,1.2797638765153687,103.83957440788392
CLARKE QUAY MRT STATION,NE5,1.2883853575338489,103.84655487595852
BISHAN MRT STATION,NS17,1.3508383210268813,103.84814363113723
BOTANIC GARDENS MRT STATION,DT9,1.3224233120326265,103.81613131980886
MARYMOUNT MRT STATION,CC16,1.3487065963512335,103.83942279923492
HAW PAR VILLA MRT STATION,CC25,1.282541489975833,103.78181011801121
LORONG CHUAN MRT STATION,CC14,1.3516115043587469,103.86415160470331
LAVENDER MRT STATION,EW11,1.3073563534284387,103.8628288747638
DHOBY GHAUT MRT STATION,NE6,1.2997047918559064,103.8454878514154
DHOBY GHAUT MRT STATION,CC1,1.2988421498087017,103.84623877897131
TAI SENG MRT STATION,CC11,1.335432655556156,103.88819452779144
ROCHOR MRT STATION,DT13,1.303915817297394,103.85242134736595
LITTLE INDIA MRT STATION,DT12,1.3071975562439149,103.84858429204418
LITTLE INDIA MRT STATION,NE7,1.3067993586451458,103.84964663323476
STEVENS MRT STATION,DT10,1.320064890339588,103.82602406891277
BUKIT PANJANG MRT STATION,DT1,1.379001450051363,103.76153478145277
CASHEW MRT STATION,DT2,1.3693691643979409,103.76469408902503
SIXTH AVENUE MRT STATION,DT7,1.3307857206970257,103.79724598334163
TOA PAYOH MRT STATION,NS19,1.332628320456141,103.84750143100314
WOODLANDS SOUTH MRT STATION,TE3,1.427259312044842,103.79385055912199
POTONG PASIR MRT STATION,NE10,1.3313788579523373,103.86905533192592
HOUGANG MRT STATION,NE14,1.3712916250120202,103.89238018554428
BOON KENG MRT STATION,NE9,1.3193950393559846,103.86168616852737
UPPER CHANGI MRT STATION,DT34,1.3417368172278428,103.96147145513385
CHANGI AIRPORT MRT STATION,CG2,1.3573138786664856,103.98836432480927
WOODLANDS MRT STATION,TE2,1.4360663146265722,103.78793047374738
BRADDELL MRT STATION,NS18,1.3404710177840782,103.84679751207547
BUANGKOK MRT STATION,NE15,1.3828771914807794,103.89312123141652
PROMENADE MRT STATION,CC4,1.29321738482212,103.86099882254511
BOTANIC GARDENS MRT STATION,CC19,1.3221095263176632,103.81498241701635
RAFFLES PLACE MRT STATION,EW14 / NS26,1.2841249439059066,103.85146137875293
HOLLAND VILLAGE MRT STATION,CC21,1.311834123735084,103.79619149054247
OUTRAM PARK MRT STATION,EW16,1.2814043114627949,103.8391261642491
TELOK BLANGAH MRT STATION,CC28,1.2707525447912367,103.80974830350968
TELOK AYER MRT STATION,DT18,1.2822888695249364,103.84830247285558
NEWTON MRT STATION,NS21,1.3123194328884549,103.83798496629848
